topCat_id	TopCatname	firstCat_id	firstCatname	secondCat_id	secondCatname	thirdCat_id	thirdCatname	fouthCat_id	fouthCatname
37415	Photography	52559	Professional Video	52562	Camcorders				
37415	Photography	52559	Professional Video	52563	CCD Accessories				
37415	Photography	52559	Professional Video	52564	CCD Lenses				
37415	Photography	52559	Professional Video	52565	General Video Accessories				
37415	Photography	52559	Professional Video	52566	General Video Equipment				
37415	Photography	52559	Professional Video	52567	Lenses & Accessories				
37415	Photography	52559	Professional Video	52568	Network/Surveillance Cameras				
37415	Photography	52559	Professional Video	52569	On Camera Lighting				
37415	Photography	52559	Professional Video	52570	Video Media				
37415	Photography	53625	Scopes & Rangefinders	53627	Accessories				
37415	Photography	53625	Scopes & Rangefinders	53626	Eyepieces				
37415	Photography	53625	Scopes & Rangefinders	3151	Rangefinders				
37415	Photography	53625	Scopes & Rangefinders	53628	Riflescopes				
37415	Photography	53625	Scopes & Rangefinders	3152	Spotting Scopes				
37415	Photography	3153	Telescopes and Microscopes	53601	Astrophotography				
37415	Photography	3153	Telescopes and Microscopes	53599	Eyepieces, Finders & Accessories				
37415	Photography	3153	Telescopes and Microscopes	53597	Microscopes & Accessories				
37415	Photography	3153	Telescopes and Microscopes	53600	Mounts, Drives & Accessories				
37415	Photography	3153	Telescopes and Microscopes	53602	Other Telescope Accessories				
37415	Photography	3153	Telescopes and Microscopes	53598	Telescopes				
37415	Photography	3069	Tripods	53613	Camcorder Support & Heads				
37415	Photography	3069	Tripods	53616	Camcorder Tripod Accessories				
37415	Photography	3069	Tripods	53612	Camera Mounts, Stands & Clamps				
37415	Photography	3069	Tripods	53610	Camera Tripod Accessories				
37415	Photography	3069	Tripods	53609	Monopods & Accessories				
37415	Photography	3069	Tripods	53611	Quick Release System				
37415	Photography	3069	Tripods	53615	Spreader & Dollies				
37415	Photography	3069	Tripods	53614	Stabilizers & Shoulder Brackets				
37415	Photography	3069	Tripods	53608	Tripod Heads				
37415	Photography	3069	Tripods	53607	Tripods				
37415	Photography	49021	Underwater Equipment	53587	Camera & Lens Accessories				
37415	Photography	49021	Underwater Equipment	53585	Cameras				
37415	Photography	49021	Underwater Equipment	53588	Housings				
37415	Photography	49021	Underwater Equipment	53589	Lenses				
37415	Photography	49021	Underwater Equipment	53586	O Rings				
37415	Photography	49021	Underwater Equipment	53591	Other Underwater Equipment				
37415	Photography	49021	Underwater Equipment	53590	Strobes				
37415	Photography	52480	Underwater Equipment Accessories	53592	Housing Accessories				
37415	Photography	52480	Underwater Equipment Accessories	53594	Lens Accessories				
37415	Photography	52480	Underwater Equipment Accessories	53593	Strobe Accessories				
3021	Portable Audio	3154	Boomboxes						
3021	Portable Audio	3155	Clock Radios						
3021	Portable Audio	3156	Headphones						
3021	Portable Audio	3157	MiniDisc						
3021	Portable Audio	3158	Personal CD						
3021	Portable Audio	3159	Personal Speakers						
3021	Portable Audio	3160	Personal Stereo						
3021	Portable Audio	3161	Voice Recorder						
3021	Portable Audio	3162	World Band						
3022	Power Inverters	3163	Generators						
3023	Projector Accessories								
3024	Radar Detectors								
3025	ReplayTV								
44687	Satellite Accessories								
3026	Scanners								
3027	Sirius	3164	XM Radio						
3028	Sirius Radio	3165	Accessories						
3029	Telephones	3166	Answering Machines						
3029	Telephones	3167	Answering Systems Cordless						
3029	Telephones	3168	Basic Cordless						
3029	Telephones	3169	Caller ID Cordless						
3029	Telephones	3170	Caller ID Units						
3029	Telephones	3171	Conference Solutions						
3029	Telephones	3172	Corded	3220	Basic				
3029	Telephones	3172	Corded	3235	Character/Novelty				
3029	Telephones	3172	Corded	3244	Desktop				
3029	Telephones	3173	Multi-Handset Cordless						
3029	Telephones	3174	Multi-Line Cordless						
3029	Telephones	46753	Telephone Cords & Connectors						
3029	Telephones	46754	Telephone Shoulder Rests						
3030	Televisions	3175	25 to 27-inch						
3030	Televisions	3176	32 to 36-inch						
3030	Televisions	3177	5 to 24-inch						
3030	Televisions	47211	DLP TV						
3030	Televisions	3178	HDTV Tuners						
3030	Televisions	3179	LCD & DLP Projectors						
3030	Televisions	3180	LCD Displays						
3030	Televisions	3181	Plasma Displays						
3030	Televisions	3182	Portable						
3030	Televisions	3183	Projection						
3030	Televisions	3184	Projection Video Screens						
3031	TiVo								
3033	TV and HDTV	3185	Analog Direct View TVs	3204	13” and Under				
3033	TV and HDTV	3185	Analog Direct View TVs	3205	14” to 20”
				
3033	TV and HDTV	3185	Analog Direct View TVs	3208	21” to 30”				
3033	TV and HDTV	3185	Analog Direct View TVs	3211	31” to 36”				
3033	TV and HDTV	3186	EDTV Plasma TVs						
3033	TV and HDTV	3187	HDTV Direct View TVs	3210	26” to 30”				
3033	TV and HDTV	3187	HDTV Direct View TVs	3212	31” to 40”				
3033	TV and HDTV	3188	HDTV Plasma TVs						
3033	TV and HDTV	3189	LCD TVs	3262	LCD 13” and Under				
3033	TV and HDTV	3189	LCD TVs	3263	LCD 14” to 30”				
3033	TV and HDTV	3189	LCD TVs	3264	LCD 31” and Larger				
3033	TV and HDTV	3190	Projection TVs	3218	Analog				
3033	TV and HDTV	3190	Projection TVs	3255	HDTV				
3033	TV and HDTV	3190	Projection TVs	3256	HDTV DLP				
3033	TV and HDTV	3190	Projection TVs	3257	HDTV LCD				
3033	TV and HDTV	3191	Projectors	3246	DLP				
3033	TV and HDTV	3191	Projectors	3261	LCD				
3033	TV and HDTV	3192	TV/DVD Combos	3207	20” and Under				
3033	TV and HDTV	3192	TV/DVD Combos	3209	24” and Larger				
3033	TV and HDTV	3193	TV/DVD/VCR Combos						
3032	TV/DVD Combo								
3034	Unique Gifts								
3035	VCR	3194	Dual Decks						
3035	VCR	3195	HiFi Stereo						
3035	VCR	3196	Mono						
3035	VCR	3197	S-VHS						
3035	VCR	3198	VCR/DVD Combo						
3035	VCR	3199	World Wide						
3036	Wireless	3200	Accessories						
3037	XM Radio	3201	Accessories						
